search_id,pmid,pmcid,doi
ns_id,34986596,PMC8728143,10.1093/nar/gkab1086
ns_id,34755882,PMC8728220,10.1093/nar/gkab1063
ns_id,34829993,PMC8619767,10.3390/ijms222212108
ns_id,34753514,PMC8579680,10.1186/s40246-021-00366-9
ns_id,34463284,PMC8572689,10.1684/ejd.2021.4107
ns_id,34724143,PMC8669056,10.1007/s10278-021-00527-1
ns_id,34600327,PMC8573608,10.1016/j.compbiomed.2021.104904
ns_id,34831151,PMC8616258,10.3390/cells10112929
ns_id,34664389,PMC8524328,10.15252/msb.202110387
ns_id,34663204,PMC8522253,10.1186/s12859-021-04402-2
ns_id,34698165,PMC8544451,10.3390/diseases9040074
ns_id,34682020,PMC8534750,10.3390/e23101296
ns_id,34638171,PMC8510867,10.5808/gi.21008
ns_id,34603477,PMC8483914,10.1155/2021/9163279
ns_id,34454610,PMC8400831,10.1186/s13326-021-00250-4
ns_id,34448927,PMC8913476,10.1007/s00335-021-09904-1
ns_id,34489936,PMC8417698,10.3389/fimmu.2021.687291
ns_id,33185496,PMC8388252,10.1089/jayao.2020.0098
ns_id,34373890,PMC8574978,10.1093/bib/bbab270
ns_id,34394377,PMC8360715,10.1155/2021/1353674
ns_id,34139439,PMC8404035,10.1016/j.compbiomed.2021.104542
ns_id,34394068,PMC8358782,10.3389/fimmu.2021.547333
ns_id,34289807,PMC8296689,10.1186/s12859-021-04173-w
ns_id,34253812,PMC8275784,10.1038/s41598-021-93809-1
ns_id,34252957,PMC8275341,10.1093/bioinformatics/btab310
ns_id,34197603,PMC8373148,10.1093/nar/gkab556
ns_id,34306572,PMC8280514,10.1016/j.csbj.2021.06.046
ns_id,34185818,PMC8241107,10.1371/journal.pone.0253918
ns_id,34103016,PMC8185931,10.1186/s12859-021-04231-3
ns_id,33836447,PMC8204262,10.1016/j.compbiomed.2021.104360
ns_id,34057427,PMC8204232,10.2196/18500
ns_id,34048547,PMC8163238,10.1093/database/baab031
ns_id,34015823,PMC8195003,10.1093/bib/bbab191
ns_id,34055926,PMC8163519,10.3389/fcvm.2021.631650
ns_id,34237135,PMC8574625,10.1093/bib/bbab141
ns_id,34026820,PMC8138129,10.3389/fmolb.2021.617016
ns_id,33956862,PMC8101720,10.1371/journal.pone.0250660
ns_id,33845909,PMC8042947,10.1186/s13326-021-00241-5
ns_id,33795682,PMC8016863,10.1038/s41467-021-22328-4
ns_id,33761868,PMC7992861,10.1186/s12859-021-04007-9
ns_id,33625251,PMC8284374,10.1161/CIRCGEN.120.003196
ns_id,33622316,PMC7903653,10.1186/s12920-021-00900-7
ns_id,33599246,PMC7904053,10.1093/database/baab006
ns_id,33579375,PMC7881657,10.1186/s13326-021-00234-4
